epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,521.467,3.03143,0.56176,0.82383,1.7265,0.0802046,0.000199954,0.000199954
2,988.376,2.12302,0.64977,0.87512,1.36235,0.0604045,0.00039991,0.00039991
3,1437.04,1.92304,0.72815,0.9137,1.06062,0.0406043,0.000599693,0.000599693
4,1863.21,1.73681,0.76083,0.92586,0.93187,0.0208038,0.000799173,0.000799173
5,2276.77,1.57619,0.78368,0.93347,0.84708,0.00100283,0.000998218,0.000998218
6,2687.69,1.44324,0.79957,0.942,0.78113,0.000997288,0.000997288,0.000997288
7,3099.26,1.33191,0.81086,0.94659,0.73786,0.000996097,0.000996097,0.000996097
8,3510.37,1.2375,0.82035,0.94972,0.70576,0.00099469,0.00099469,0.00099469
9,3920.88,1.15344,0.82564,0.95173,0.68305,0.000993068,0.000993068,0.000993068
10,4331.21,1.09208,0.83023,0.95365,0.66239,0.000991232,0.000991232,0.000991232
11,4741.4,1.0328,0.83366,0.95415,0.65133,0.000989183,0.000989183,0.000989183
12,5152.9,0.98501,0.83492,0.95516,0.64275,0.000986922,0.000986922,0.000986922
13,5563.52,0.94712,0.83744,0.95577,0.6351,0.000984449,0.000984449,0.000984449
14,5974.65,0.90732,0.83941,0.95632,0.6301,0.000981765,0.000981765,0.000981765
15,6385.5,0.87358,0.84007,0.95683,0.62663,0.000978873,0.000978873,0.000978873
16,6798.29,0.84423,0.84082,0.95738,0.62385,0.000975773,0.000975773,0.000975773
17,7214.91,0.8111,0.84218,0.95758,0.6214,0.000972466,0.000972466,0.000972466
18,7631.98,0.7816,0.84244,0.95768,0.61837,0.000968955,0.000968955,0.000968955
19,8045.15,0.76018,0.8436,0.95789,0.61614,0.000965239,0.000965239,0.000965239
20,8464.33,0.72731,0.84405,0.95844,0.61378,0.000961322,0.000961322,0.000961322
21,8881.92,0.71256,0.84536,0.95834,0.61104,0.000957205,0.000957205,0.000957205
22,9300.11,0.69275,0.84647,0.95915,0.60892,0.000952889,0.000952889,0.000952889
23,9716.29,0.66789,0.84703,0.9597,0.6068,0.000948377,0.000948377,0.000948377
24,10135.8,0.65141,0.84799,0.9595,0.60492,0.000943671,0.000943671,0.000943671
25,10554.3,0.63847,0.84859,0.9599,0.60294,0.000938772,0.000938772,0.000938772
26,10980.3,0.61696,0.8493,0.95995,0.60037,0.000933683,0.000933683,0.000933683
27,11403.9,0.60844,0.8502,0.96016,0.59798,0.000928405,0.000928405,0.000928405
