epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,268.457,3.01378,0.41147,0.70624,2.39569,0.0802099,0.0001999,0.0001999
2,536.005,2.21918,0.53911,0.79653,1.84838,0.0604066,0.000396601,0.000396601
3,779.194,1.99976,0.66302,0.87829,1.29828,0.0406,0.000590002,0.000590002
4,1006.56,1.7978,0.69223,0.89523,1.17578,0.0207901,0.000780102,0.000780102
5,1231.73,1.67801,0.72284,0.90797,1.06439,0.000976913,0.000966903,0.000966903
6,1459.46,1.56554,0.73998,0.91817,0.98515,0.00095875,0.00095875,0.00095875
7,1684.76,1.44527,0.75779,0.92558,0.92663,0.0009505,0.0009505,0.0009505
8,1910.7,1.36957,0.77152,0.92951,0.87657,0.00094225,0.00094225,0.00094225
9,2137.84,1.29321,0.77739,0.93444,0.84382,0.000934,0.000934,0.000934
10,2362.91,1.23902,0.7898,0.93625,0.80645,0.00092575,0.00092575,0.00092575
11,2587.64,1.17912,0.79507,0.93991,0.78541,0.0009175,0.0009175,0.0009175
12,2807.88,1.13524,0.7986,0.94191,0.76981,0.00090925,0.00090925,0.00090925
13,3022.1,1.08204,0.8026,0.94318,0.76092,0.000901,0.000901,0.000901
14,3242.8,1.03666,0.8082,0.94405,0.74711,0.00089275,0.00089275,0.00089275
15,3464.12,0.99781,0.80934,0.94478,0.74519,0.0008845,0.0008845,0.0008845
16,3689.94,0.96687,0.81054,0.94565,0.73867,0.00087625,0.00087625,0.00087625
17,3911.03,0.93669,0.81274,0.94572,0.73516,0.000868,0.000868,0.000868
18,4117.51,0.89967,0.81394,0.94678,0.73156,0.00085975,0.00085975,0.00085975
19,4323.2,0.87717,0.81454,0.94745,0.72998,0.0008515,0.0008515,0.0008515
20,4526.71,0.84885,0.81467,0.94765,0.72951,0.00084325,0.00084325,0.00084325
21,4728.08,0.81621,0.81447,0.94725,0.72724,0.000835,0.000835,0.000835
22,4933.04,0.7912,0.81594,0.94745,0.72418,0.00082675,0.00082675,0.00082675
