epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.4292,1.36351,0.72199,0.95954,0.86096,0.0803535,0.00019845,0.00019845
2,36.226,0.91945,0.7334,0.97718,0.84674,0.0605502,0.000395162,0.000395162
3,52.9279,0.85026,0.79979,0.97822,0.72244,0.0407436,0.000588575,0.000588575
4,67.9875,0.83272,0.72407,0.96369,0.90816,0.0209337,0.000778688,0.000778688
5,83.8116,0.90887,0.75622,0.97614,0.78666,0.00112054,0.000965501,0.000965501
6,98.787,0.85857,0.82988,0.9834,0.60568,0.00095875,0.00095875,0.00095875
7,114.25,0.77601,0.79461,0.98755,0.71054,0.0009505,0.0009505,0.0009505
8,129.783,0.69205,0.84129,0.98755,0.49339,0.00094225,0.00094225,0.00094225
9,144.816,0.6937,0.80913,0.9834,0.57264,0.000934,0.000934,0.000934
10,160.517,0.63606,0.81743,0.98651,0.56909,0.00092575,0.00092575,0.00092575
11,175.685,0.56407,0.85788,0.99066,0.45226,0.0009175,0.0009175,0.0009175
12,191.301,0.536,0.85581,0.98651,0.40775,0.00090925,0.00090925,0.00090925
13,207.284,0.50945,0.861,0.98859,0.46235,0.000901,0.000901,0.000901
14,222.594,0.53767,0.87137,0.98651,0.40821,0.00089275,0.00089275,0.00089275
15,238.85,0.51445,0.88382,0.99378,0.35974,0.0008845,0.0008845,0.0008845
16,255.265,0.48704,0.88174,0.98963,0.3523,0.00087625,0.00087625,0.00087625
17,271.478,0.4764,0.87656,0.99274,0.37175,0.000868,0.000868,0.000868
18,287.904,0.45424,0.88382,0.9917,0.39031,0.00085975,0.00085975,0.00085975
19,304.959,0.41075,0.87448,0.98444,0.4537,0.0008515,0.0008515,0.0008515
20,321.967,0.40342,0.87033,0.98548,0.44331,0.00084325,0.00084325,0.00084325
21,338.049,0.40468,0.86515,0.99066,0.56979,0.000835,0.000835,0.000835
22,353.95,0.37003,0.87759,0.98859,0.4445,0.00082675,0.00082675,0.00082675
23,368.793,0.35837,0.87033,0.99274,0.39916,0.0008185,0.0008185,0.0008185
24,384.762,0.37472,0.88797,0.98963,0.42416,0.00081025,0.00081025,0.00081025
25,400.418,0.38217,0.89834,0.98548,0.35403,0.000802,0.000802,0.000802
26,415.531,0.31944,0.889,0.99689,0.35347,0.00079375,0.00079375,0.00079375
27,431.521,0.33448,0.90249,0.99378,0.34087,0.0007855,0.0007855,0.0007855
28,446.691,0.36262,0.88797,0.9917,0.44901,0.00077725,0.00077725,0.00077725
29,462.279,0.32613,0.89627,0.9917,0.43454,0.000769,0.000769,0.000769
30,477.673,0.31193,0.89315,0.99066,0.37414,0.00076075,0.00076075,0.00076075
31,492.691,0.32089,0.89004,0.98859,0.37207,0.0007525,0.0007525,0.0007525
32,508.869,0.28369,0.88485,0.99481,0.35359,0.00074425,0.00074425,0.00074425
33,523.786,0.28948,0.89627,0.99481,0.36024,0.000736,0.000736,0.000736
34,538.906,0.3003,0.90041,0.99378,0.35447,0.00072775,0.00072775,0.00072775
35,554.585,0.2645,0.89004,0.98963,0.39856,0.0007195,0.0007195,0.0007195
36,569.422,0.26313,0.89212,0.99274,0.34623,0.00071125,0.00071125,0.00071125
37,585.396,0.26107,0.90456,0.99274,0.43807,0.000703,0.000703,0.000703
38,600.57,0.25708,0.9139,0.99481,0.3112,0.00069475,0.00069475,0.00069475
39,615.913,0.25094,0.89834,0.98963,0.37428,0.0006865,0.0006865,0.0006865
40,631.381,0.25197,0.88485,0.99066,0.37668,0.00067825,0.00067825,0.00067825
41,646.759,0.27067,0.89419,0.99378,0.38734,0.00067,0.00067,0.00067
42,662.436,0.23134,0.89834,0.99066,0.33811,0.00066175,0.00066175,0.00066175
43,677.734,0.21246,0.90456,0.9917,0.47145,0.0006535,0.0006535,0.0006535
44,692.657,0.19199,0.8973,0.99378,0.35484,0.00064525,0.00064525,0.00064525
45,708.38,0.22689,0.89004,0.99274,0.41809,0.000637,0.000637,0.000637
46,723.768,0.20501,0.89419,0.99378,0.37524,0.00062875,0.00062875,0.00062875
47,739.001,0.20098,0.89938,0.9917,0.42249,0.0006205,0.0006205,0.0006205
48,754.618,0.24118,0.9056,0.99274,0.35552,0.00061225,0.00061225,0.00061225
49,769.868,0.2101,0.90975,0.99481,0.42419,0.000604,0.000604,0.000604
50,785.374,0.21639,0.90353,0.99274,0.37459,0.00059575,0.00059575,0.00059575
51,801.196,0.20986,0.90768,0.99066,0.33758,0.0005875,0.0005875,0.0005875
52,816.356,0.16234,0.90975,0.99274,0.37007,0.00057925,0.00057925,0.00057925
53,832.031,0.17518,0.91079,0.99274,0.355,0.000571,0.000571,0.000571
54,847.892,0.18454,0.90249,0.99481,0.34071,0.00056275,0.00056275,0.00056275
55,862.974,0.18394,0.90871,0.98963,0.33723,0.0005545,0.0005545,0.0005545
56,878.859,0.16926,0.90249,0.9917,0.32983,0.00054625,0.00054625,0.00054625
57,893.808,0.16781,0.9056,0.99481,0.46737,0.000538,0.000538,0.000538
58,909.334,0.14057,0.8973,0.99378,0.3455,0.00052975,0.00052975,0.00052975
59,925.142,0.14713,0.91701,0.99066,0.35032,0.0005215,0.0005215,0.0005215
60,939.925,0.15027,0.89523,0.9917,0.39426,0.00051325,0.00051325,0.00051325
61,956.139,0.15582,0.91286,0.98963,0.37517,0.000505,0.000505,0.000505
62,972.088,0.15417,0.90664,0.98963,0.38854,0.00049675,0.00049675,0.00049675
63,987.413,0.17021,0.90456,0.99481,0.44238,0.0004885,0.0004885,0.0004885
