epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.2391,1.62394,0.6657,0.93605,1.06529,0.0803053,0.000198936,0.000198936
2,49.231,1.18832,0.65213,0.93605,1.17322,0.060502,0.000395645,0.000395645
3,71.0652,1.11797,0.68992,0.93411,1.04794,0.0406954,0.000589054,0.000589054
4,89.2803,1.10927,0.69186,0.93895,1.05914,0.0208855,0.000779162,0.000779162
5,107.739,1.11885,0.68508,0.93895,1.03292,0.00107235,0.000965971,0.000965971
6,126.077,1.07959,0.71318,0.95446,0.92334,0.00095875,0.00095875,0.00095875
7,143.995,1.01494,0.71512,0.95736,0.90361,0.0009505,0.0009505,0.0009505
8,162.196,0.94205,0.78682,0.96996,0.6711,0.00094225,0.00094225,0.00094225
9,180.683,0.91515,0.76744,0.96802,0.72055,0.000934,0.000934,0.000934
10,198.969,0.84534,0.80911,0.97093,0.69817,0.00092575,0.00092575,0.00092575
11,217.174,0.81469,0.78876,0.96802,0.67669,0.0009175,0.0009175,0.0009175
12,235.611,0.78102,0.79264,0.98062,0.63332,0.00090925,0.00090925,0.00090925
13,253.94,0.7508,0.78488,0.96221,0.73486,0.000901,0.000901,0.000901
14,272.624,0.74077,0.79167,0.97674,0.69945,0.00089275,0.00089275,0.00089275
15,293.34,0.6961,0.82171,0.97965,0.58045,0.0008845,0.0008845,0.0008845
16,313.185,0.6979,0.83043,0.96802,0.60744,0.00087625,0.00087625,0.00087625
17,331.703,0.65168,0.84399,0.98062,0.52429,0.000868,0.000868,0.000868
18,350.632,0.63601,0.80233,0.97771,0.58584,0.00085975,0.00085975,0.00085975
19,369.387,0.61854,0.81977,0.98643,0.57057,0.0008515,0.0008515,0.0008515
20,388.173,0.58938,0.79651,0.98159,0.6034,0.00084325,0.00084325,0.00084325
21,406.986,0.60465,0.84399,0.98062,0.48865,0.000835,0.000835,0.000835
22,425.848,0.557,0.84012,0.98353,0.53461,0.00082675,0.00082675,0.00082675
23,444.777,0.5582,0.80233,0.97771,0.60347,0.0008185,0.0008185,0.0008185
24,463.283,0.55762,0.83527,0.97771,0.63606,0.00081025,0.00081025,0.00081025
25,481.827,0.54034,0.82752,0.98353,0.57835,0.000802,0.000802,0.000802
26,500.519,0.53025,0.8062,0.97578,0.6466,0.00079375,0.00079375,0.00079375
27,520.098,0.4911,0.83721,0.97771,0.53751,0.0007855,0.0007855,0.0007855
28,539.039,0.5115,0.85174,0.97868,0.47268,0.00077725,0.00077725,0.00077725
29,557.752,0.49969,0.82849,0.98547,0.57636,0.000769,0.000769,0.000769
30,576.796,0.46931,0.84593,0.98256,0.51722,0.00076075,0.00076075,0.00076075
31,595.651,0.443,0.83818,0.98159,0.52888,0.0007525,0.0007525,0.0007525
32,614.193,0.44131,0.85368,0.98062,0.50103,0.00074425,0.00074425,0.00074425
33,633.209,0.44176,0.83818,0.98256,0.55449,0.000736,0.000736,0.000736
34,651.98,0.41403,0.85465,0.98256,0.43713,0.00072775,0.00072775,0.00072775
35,671.088,0.3951,0.8314,0.9845,0.64917,0.0007195,0.0007195,0.0007195
36,689.875,0.40851,0.86143,0.98934,0.45698,0.00071125,0.00071125,0.00071125
37,708.362,0.38258,0.86434,0.98547,0.51023,0.000703,0.000703,0.000703
38,727.117,0.38312,0.84399,0.97674,0.51146,0.00069475,0.00069475,0.00069475
39,745.718,0.38114,0.85078,0.98643,0.48037,0.0006865,0.0006865,0.0006865
40,764.27,0.37588,0.85368,0.97965,0.52561,0.00067825,0.00067825,0.00067825
41,783.343,0.37564,0.85853,0.98256,0.49418,0.00067,0.00067,0.00067
42,802.249,0.3725,0.86434,0.98062,0.51886,0.00066175,0.00066175,0.00066175
43,821.142,0.32425,0.86143,0.9874,0.50661,0.0006535,0.0006535,0.0006535
44,840.185,0.32036,0.85756,0.98643,0.58676,0.00064525,0.00064525,0.00064525
45,858.818,0.35184,0.8595,0.98159,0.50536,0.000637,0.000637,0.000637
46,877.658,0.3084,0.8624,0.98547,0.48972,0.00062875,0.00062875,0.00062875
